# MALT90 Year 2 catalog from dstncs201.dat Sun Dec 11 17:56:52 2011 velocat=/mako4/d/scott/velo/socat211-rev.dat  Reid rotation model
#source          type     londeg     latdeg    vbest     vrms vcode  kdnear   kdfar   derrp   derrm   probn   probf  dcode comment
 G335.013-00.246    0 335.013550  -0.245485   -25.44     0.14     6   2.020  13.389   0.322   0.302  -1.000  -1.000      0 OK
 G335.202-00.382    0 335.203125  -0.381360    -3.16     0.50    16   0.394  15.038  15.098   0.417  -1.000  -1.000      0 weak
 G335.263+00.410    0 335.261078   0.409748   -60.30     1.00     2   3.841  11.599   0.230   0.221  -1.000  -1.000      0 weak
 G335.305-00.282    0 335.305634  -0.281877   -40.54     2.00     6   2.895  12.551   0.291   0.275  -1.000  -1.000      0 use-hnc
 G335.380+00.428    0 335.380005   0.428437   -58.92     0.39    14   3.785  11.670   0.228   0.220  -1.000  -1.000      0 OK
 G335.394-00.173    0 335.394836  -0.171954   -20.00     2.00     2   1.681  13.775   0.376   0.349  -1.000  -1.000      0 use-hnc-weak
 G335.430+00.441    0 335.430786   0.442058   -58.85     1.00     4   3.784  11.677   0.232   0.223  -1.000  -1.000      0 ratty
 G335.591-00.272    0 335.591583  -0.271403   -47.16     0.14    30   3.244  12.237   0.252   0.241  -1.000  -1.000      0 OK
 G335.832-00.358    0 335.835785  -0.357826   -98.84    -1.00     1   5.398  10.112   0.193   0.194  -1.000  -1.000      0 nothing-there
 G335.842-00.098    0 335.842346  -0.096722   -66.48     0.25     6   4.131  11.380   0.214   0.207  -1.000  -1.000      0 OK
 G336.000-00.372    0 336.000702  -0.371047   -79.99     0.30    22   4.683  10.848   0.198   0.194  -1.000  -1.000      0 OK
 G336.018+00.207    0 336.018280   0.207687   -76.11     0.32    30   4.530  11.002   0.202   0.197  -1.000  -1.000      0 OK
 G336.058-00.299    0 336.058075  -0.298457   -40.68     1.26     6   2.936  12.601   0.279   0.264  -1.000  -1.000      0 OK
 G336.211+00.204    0 336.211487   0.204316   -45.74     0.45    30   3.202  12.353   0.257   0.244  -1.000  -1.000      0 OK
 G336.286+00.425    0 336.286438   0.425091   -35.05     0.50     1   2.642  12.923   0.290   0.274  -1.000  -1.000      0 ratty-use-hnc-n2hp
 G336.359-00.139    0 336.360077  -0.138170   -79.53     0.13    30   4.676  10.897   0.196   0.192  -1.000  -1.000      0 OK
 G336.552-00.195    0 336.552368  -0.194532   -84.23     0.25    30   4.862  10.734   0.191   0.188  -1.000  -1.000      0 OK
 G336.807+00.119    0 336.807373   0.119717   -82.52     0.34    30   4.806  10.820   0.192   0.188  -1.000  -1.000      0 OK
 G336.810+00.257    0 336.810150   0.257514   -75.75     0.56    30   4.545  11.081   0.200   0.194  -1.000  -1.000      0 OK
 G336.866+00.003    0 336.866699   0.003024   -73.30     0.16    30   4.451  11.182   0.202   0.196  -1.000  -1.000      0 OK
 G336.882+00.010    0 336.882568   0.010650   -74.50     0.06    30   4.499  11.136   0.200   0.194  -1.000  -1.000      0 OK
 G336.902-00.163    0 336.902679  -0.161934   -71.10     0.80    30   4.365  11.272   0.207   0.200  -1.000  -1.000      0 OK
 G336.936-00.149    0 336.937073  -0.148822   -71.77     1.58    30   4.393  11.248   0.213   0.206  -1.000  -1.000      0 OK
 G336.958-00.978    0 336.958954  -0.977103   -44.52     0.42    30   3.179  12.465   0.260   0.247  -1.000  -1.000      0 OK
 G337.121-00.175    0 337.122223  -0.174094   -75.23     0.49    30   4.538  11.125   0.199   0.193  -1.000  -1.000      0 OK
 G337.174-00.032    0 337.174591  -0.031862   -68.94     0.70    30   4.290  11.379   0.209   0.202  -1.000  -1.000      0 OK
 G337.300-00.874    0 337.300659  -0.873207   -93.17     0.09    30   5.214  10.469   0.181   0.179  -1.000  -1.000      0 OK
 G337.330-00.499    0 337.331055  -0.497984   -39.29     0.03    30   2.927  12.760   0.276   0.260  -1.000  -1.000      0 OK
 G337.388-00.211    0 337.388336  -0.210346   -60.41     0.20    14   3.943  11.750   0.221   0.212  -1.000  -1.000      0 OK
 G337.523+00.065    0 337.523071   0.065072   -58.81     1.50    14   3.881  11.828   0.234   0.224  -1.000  -1.000      0 OK
 G337.533+00.149    0 337.533966   0.149639  -119.02     1.00     2   6.144   9.566   0.187   0.194  -1.000  -1.000      0 use-hcop
 G337.570+00.234    0 337.570282   0.234523   -42.12     0.30     6   3.089  12.625   0.268   0.253  -1.000  -1.000      0 OK
 G337.613-00.060    0 337.612762  -0.058682   -49.69     0.67    30   3.468  12.250   0.248   0.235  -1.000  -1.000      0 OK
 G337.696-00.024    0 337.696869  -0.023771   -50.18     1.59    30   3.496  12.232   0.256   0.243  -1.000  -1.000      0 OK
 G337.705-00.054    0 337.705353  -0.052982   -48.15     0.72    30   3.399  12.330   0.252   0.239  -1.000  -1.000      0 OK
 G337.933-00.506    0 337.933746  -0.505636   -39.02     0.89    30   2.946  12.809   0.282   0.266  -1.000  -1.000      0 OK
 G337.995+00.077    0 337.995697   0.077134  -122.67     0.04    22   6.271   9.490   0.182   0.190  -1.000  -1.000      0 OK
 G338.006+00.017    0 338.006653   0.017752   -62.60     0.27    30   4.070  11.693   0.216   0.207  -1.000  -1.000      0 OK
 G338.075+00.011    0 338.075897   0.012413   -38.00     2.50    24   2.899  12.872   0.316   0.295  -1.000  -1.000      0 use-hnc-n2hp;multiple-pks
 G338.112-00.192    0 338.113220  -0.190851   -50.37     2.00    16   3.530  12.245   0.263   0.248  -1.000  -1.000      0 use-hcn
 G338.125+00.167    0 338.125702   0.167741   -30.87     0.12    30   2.494  13.282   0.311   0.290  -1.000  -1.000      0 OK
 G338.281+00.541    0 338.281647   0.541984   -61.24     0.49    30   4.027  11.766   0.219   0.210  -1.000  -1.000      0 OK
 G338.391+00.171    0 338.391632   0.171941   -31.76     0.81    30   2.562  13.243   0.312   0.291  -1.000  -1.000      0 OK
 G338.402+00.033    0 338.403076   0.033626   -40.71     0.29    30   3.064  12.743   0.273   0.257  -1.000  -1.000      0 OK
 G338.423-00.410    0 338.424347  -0.408843   -37.31     0.36    12   2.881  12.927   0.286   0.268  -1.000  -1.000      0 OK
 G338.434+00.012    0 338.434296   0.012587   -46.56     0.15    30   3.365  12.445   0.254   0.240  -1.000  -1.000      0 OK
 G338.461-00.245    0 338.461975  -0.243574   -55.76     0.83    30   3.799  12.014   0.233   0.222  -1.000  -1.000      0 OK
 G338.473+00.289    0 338.473511   0.289765   -29.64     1.20    28   2.439  13.376   0.327   0.304  -1.000  -1.000      0 OK
 G338.494+00.042    0 338.494934   0.045043   -41.09     0.59    30   3.089  12.727   0.274   0.257  -1.000  -1.000      0 OK
 G338.568+00.109    0 338.568695   0.109879   -79.91     1.68    14   4.781  11.044   0.198   0.192  -1.000  -1.000      0 OK
 G338.569-00.145    0 338.569092  -0.142836  -117.54     0.05    22   6.083   9.742   0.171   0.175  -1.000  -1.000      0 OK
 G338.850+00.408    0 338.850708   0.409018   -57.04     0.10    30   3.879  11.976   0.226   0.216  -1.000  -1.000      0 OK
 G338.913+00.399    0 338.913422   0.399784   -25.83     2.19    30   2.223  13.639   0.371   0.341  -1.000  -1.000      0 2nd-pk--60ish
 G338.917+00.382    0 338.917023   0.382864   -24.69     0.39    30   2.148  13.714   0.346   0.320  -1.000  -1.000      0 2nd-pk--55
 G339.105+00.148    0 339.105591   0.148928   -78.59     0.07    30   4.760  11.123   0.187   0.181  -1.000  -1.000      0 OK
 G339.467+00.084    0 339.467285   0.084600  -110.64     0.20    30   5.863  10.057   0.162   0.162  -1.000  -1.000      0 n2hp-off-IF
 G339.476+00.185    0 339.476532   0.185641   -93.11     1.20    30   5.288  10.633   0.175   0.172  -1.000  -1.000      0 OK
 G339.584-00.128    0 339.584442  -0.127245   -34.63     0.85    30   2.803  13.129   0.303   0.283  -1.000  -1.000      0 OK
 G339.622-00.122    0 339.622467  -0.121143   -34.06     0.27    30   2.772  13.164   0.302   0.281  -1.000  -1.000      0 OK
 G339.834+00.633    0 339.834198   0.633541   -58.53     0.05    30   4.009  11.949   0.222   0.211  -1.000  -1.000      0 OK
 G339.855+00.298    0 339.855438   0.298433   -18.74     1.14    30   1.781  14.179   0.399   0.365  -1.000  -1.000      0 OK
 G339.856+00.700    0 339.855713   0.698766   -59.20     0.05    22   4.039  11.921   0.220   0.209  -1.000  -1.000      0 OK
 G339.924-00.084    0 339.924713  -0.082994   -53.15     0.20    30   3.776  12.191   0.236   0.223  -1.000  -1.000      0 OK
 G339.969-00.165    0 339.969818  -0.164482   -52.19     0.24    30   3.735  12.237   0.238   0.225  -1.000  -1.000      0 OK
 G340.054-00.244    0 340.054535  -0.243410   -52.78     0.36    30   3.768  12.212   0.237   0.224  -1.000  -1.000      0 OK
 G340.249-00.045    0 340.249573  -0.044441  -121.20     0.07    22   6.214   9.786   0.157   0.159  -1.000  -1.000      0 OK
 G340.285-00.072    0 340.285034  -0.076723  -118.43     0.19    22   6.127   9.876   0.156   0.158  -1.000  -1.000      0 OK
 G340.296+00.540    0 340.296417   0.540875   -56.89     0.81    14   3.970  12.035   0.228   0.216  -1.000  -1.000      0 OK
 G340.401-00.378    0 340.401428  -0.377565   -45.72     0.24    14   3.456  12.560   0.258   0.242  -1.000  -1.000      0 OK
 G340.431-00.372    0 340.431366  -0.371183   -46.42     0.80    30   3.493  12.525   0.259   0.243  -1.000  -1.000      0 OK
 G340.764-00.132    0 340.764465  -0.131833   -39.89     0.12    12   3.180  12.871   0.280   0.261  -1.000  -1.000      0 OK
 G340.776-00.119    0 340.776764  -0.118466   -39.75     0.50    30   3.173  12.879   0.282   0.263  -1.000  -1.000      0 use-hnc-n2hp;hcop-at--102
 G340.941-00.274    0 340.941742  -0.273079   -46.36     1.02    14   3.529  12.540   0.262   0.245  -1.000  -1.000      0 OK
 G340.944-00.364    0 340.945129  -0.363587   -45.91     1.36    14   3.506  12.562   0.268   0.250  -1.000  -1.000      0 OK
 G341.038-00.113    0 341.038452  -0.112672   -43.29     0.76    30   3.381  12.697   0.271   0.253  -1.000  -1.000      0 OK
 G341.198-00.220    0 341.198944  -0.220085   -43.90     0.97    14   3.425  12.668   0.270   0.252  -1.000  -1.000      0 OK
 G341.221-00.262    0 341.222046  -0.260976   -44.89     1.28    14   3.477  12.618   0.270   0.252  -1.000  -1.000      0 OK
 G341.600+00.228    0 341.600739   0.226272   -76.31     0.68    14   4.834  11.297   0.185   0.177  -1.000  -1.000      0 OK
 G341.907+00.050    0 341.907562   0.050552  -120.18     0.32     6   6.218   9.942   0.144   0.144  -1.000  -1.000      0 OK
 G341.972+00.296    0 341.972473   0.296969   -20.56     0.15    30   2.042  14.123   0.396   0.360  -1.000  -1.000      0 OK
 G342.058+00.422    0 342.058594   0.422563   -70.80     2.21    30   4.668  11.505   0.210   0.199  -1.000  -1.000      0 OK
 G342.240-00.315    0 342.240173  -0.314461  -123.65     0.08     6   6.326   9.863   0.141   0.142  -1.000  -1.000      0 OK
 G342.246+00.305    0 342.246094   0.305984  -118.75     0.16    22   6.188  10.002   0.142   0.141  -1.000  -1.000      0 OK
 G342.337+00.025    0 342.337036   0.025512    -6.64     1.50     2   0.843  15.355   0.568   0.502  -1.000  -1.000      0 use-hcop
 G342.357+00.108    0 342.357025   0.108130   -93.14     0.15    22   5.446  10.754   0.158   0.153  -1.000  -1.000      0 OK
 G342.369+00.141    0 342.369385   0.141187   -10.32     0.86    30   1.205  14.997   0.506   0.451  -1.000  -1.000      0 OK
 G342.415+00.412    0 342.415863   0.412233  -114.82     0.36    22   6.085  10.121   0.142   0.140  -1.000  -1.000      0 OK
 G342.822+00.382    0 342.822571   0.382531   -81.84     0.51    30   5.118  11.124   0.171   0.164  -1.000  -1.000      0 OK
 G342.904-00.120    0 342.905182  -0.119645   -86.10     0.50    14   5.263  10.985   0.165   0.158  -1.000  -1.000      0 OK
 G343.127-00.063    0 343.127930  -0.062525   -31.56     0.97    30   2.892  13.376   0.335   0.307  -1.000  -1.000      0 OK
 G343.478-00.023    0 343.479248  -0.025710   -29.79     0.27    30   2.811  13.487   0.342   0.313  -1.000  -1.000      0 OK
 G343.492-00.068    0 343.495697  -0.067191   -28.66     0.50    30   2.738  13.562   0.351   0.320  -1.000  -1.000      0 OK
 G343.500+00.026    0 343.500458   0.026199   -29.59     0.06    30   2.800  13.500   0.343   0.313  -1.000  -1.000      0 OK
 G343.503-00.015    0 343.502960  -0.014257   -28.02     0.13    30   2.696  13.604   0.354   0.322  -1.000  -1.000      0 OK
 G343.520-00.519    0 343.520691  -0.518460   -35.16     1.11    14   3.149  13.153   0.318   0.292  -1.000  -1.000      0 OK
 G343.689-00.018    0 343.689575  -0.017287   -35.11     0.55    30   3.163  13.153   0.313   0.287  -1.000  -1.000      0 OK
 G343.720-00.223    0 343.720734  -0.222560   -26.69     0.72    14   2.624  13.694   0.369   0.335  -1.000  -1.000      0 OK
 G343.737-00.113    0 343.737671  -0.112332   -27.82     0.60    30   2.704  13.616   0.359   0.327  -1.000  -1.000      0 OK
 G343.877-00.104    0 343.877716  -0.103839   -22.11     0.41    14   2.305  14.026   0.404   0.364  -1.000  -1.000      0 OK
 G343.901+00.108    0 343.901306   0.108277    10.00     0.05    22  17.750  17.750   0.973   0.821  -1.000  -1.000      1 OK
 G343.902-00.669    0 343.899048  -0.667170   -29.58     0.26    30   2.837  13.496   0.346   0.315  -1.000  -1.000      0 OK
 G344.000-00.580    0 344.000519  -0.579160   -23.73     1.17    14   2.438  13.904   0.401   0.361  -1.000  -1.000      0 OK
 G344.221-00.594    0 344.221863  -0.593042   -24.47     0.19    30   2.512  13.847   0.386   0.349  -1.000  -1.000      0 OK
 G344.251+00.157    0 344.252014   0.157622   -67.41     0.20    12   4.739  11.623   0.193   0.182  -1.000  -1.000      0 OK
 G344.422+00.046    0 344.422333   0.046197   -66.89     0.73    30   4.737  11.639   0.196   0.185  -1.000  -1.000      0 OK
 G344.578+00.213    0 344.578217   0.213598   -62.93     1.87    14   4.601  11.787   0.218   0.204  -1.000  -1.000      0 OK
 G344.582-00.024    0 344.582184  -0.022849    -1.64     0.18    30   0.323  16.065  16.438   0.603  -1.000  -1.000      0 OK
 G344.799-00.648    0 344.800110  -0.647660   -21.48     0.40    18   2.339  14.066   0.420   0.376  -1.000  -1.000      0 OK
 G345.004-00.224    0 345.004669  -0.223488   -29.38     5.37    14   2.936  13.485   0.533   0.461  -1.000  -1.000      0 multiple-wide-pks
 G345.415-00.963    0 345.415619  -0.962076   -22.08     0.54    30   2.446  14.006   0.422   0.377  -1.000  -1.000      0 OK
 G345.424-00.949    0 345.424774  -0.949109   -20.04     1.21    30   2.282  14.171   0.454   0.403  -1.000  -1.000      0 OK
 G345.432-00.724    0 345.432831  -0.723030   -23.55     0.59    14   2.563  13.891   0.409   0.366  -1.000  -1.000      0 OK
 G345.488+00.315    0 345.488312   0.315243   -17.90     0.52    30   2.106  14.352   0.468   0.415  -1.000  -1.000      0 OK
 G345.505+00.348    0 345.505341   0.348118   -17.11     0.27    30   2.037  14.421   0.475   0.421  -1.000  -1.000      0 OK
 G345.548-00.081    0 345.548889  -0.080665    -5.37     0.43    22   0.817  15.645   0.661   0.571  -1.000  -1.000      0 OK
 G345.576-00.226    0 345.576660  -0.225468  -125.76     2.00     1   6.524   9.940   0.126   0.125  -1.000  -1.000      0 ratty;use-0momentv
 G345.649+00.009    0 345.649475   0.009490   -10.81     3.05    14   1.439  15.030   0.669   0.572  -1.000  -1.000      0 prob.multiple-components
 G345.877+00.808    0 345.876984   0.808539   -10.08     0.49    30   1.377  15.109   0.585   0.509  -1.000  -1.000      0 OK
 G346.369-00.648    0 346.369293  -0.645720     5.78     0.26    14  17.388  17.388   1.034   0.854  -1.000  -1.000      1 OK
 G346.482+00.221    0 346.482483   0.222058   -16.40     0.13    30   2.066  14.463   0.501   0.440  -1.000  -1.000      0 OK
 G346.523+00.083    0 346.523285   0.084264     2.78     1.15    30  16.874  16.874   0.957  16.422  -1.000  -1.000      1 OK
 G346.607+00.030    0 346.607208   0.030582   -89.07     0.36    30   5.692  10.846   0.145   0.138  -1.000  -1.000      0 OK
 G346.971+00.150    0 346.971405   0.151023   -33.15     0.63     6   3.423  13.140   0.341   0.307  -1.000  -1.000      0 OK
 G347.125+00.272    0 347.125946   0.272649   -82.93     0.24    30   5.574  10.999   0.152   0.144  -1.000  -1.000      0 OK
 G347.210-00.095    0 347.210663  -0.094543  -120.65     1.54    22   6.522  10.057   0.115   0.112  -1.000  -1.000      0 OK
 G347.294+00.132    0 347.294281   0.133088   -88.47     0.55    30   5.752  10.832   0.143   0.136  -1.000  -1.000      0 OK
 G347.645+00.143    0 347.645630   0.143100   -94.29     0.20    22   5.947  10.659   0.132   0.126  -1.000  -1.000      0 OK
 G347.770+00.146    0 347.769989   0.147110   -90.06     0.69    12   5.851  10.763   0.139   0.132  -1.000  -1.000      0 OK
 G347.850-00.339    0 347.850830  -0.338778   -93.55     0.49    14   5.952  10.667   0.133   0.126  -1.000  -1.000      0 OK
 G347.874-00.311    0 347.874054  -0.310439   -93.29     0.30    22   5.948  10.673   0.132   0.126  -1.000  -1.000      0 OK
 G347.967-00.434    0 347.967621  -0.433386   -95.53     0.23    30   6.016  10.611   0.129   0.123  -1.000  -1.000      0 OK
 G348.003+00.072    0 348.003387   0.072243   -26.51     0.54    22   3.107  13.521   0.405   0.358  -1.000  -1.000      0 OK
 G348.160+00.419    0 348.160492   0.419430    -7.25     0.12    30   1.203  15.436   0.725   0.611  -1.000  -1.000      0 OK
 G348.296+00.430    0 348.296570   0.430719    -6.65     0.24    30   1.132  15.515   0.749   0.628  -1.000  -1.000      0 OK
 G348.580-00.920    0 348.580780  -0.919051   -14.74     0.47    30   2.135  14.529   0.578   0.495  -1.000  -1.000      0 OK
 G348.613-00.910    0 348.613647  -0.909140   -14.05     0.08    30   2.065  14.601   0.590   0.504  -1.000  -1.000      0 OK
 G348.777+00.149    0 348.777191   0.149553   -66.24     0.38    14   5.266  11.409   0.182   0.169  -1.000  -1.000      0 OK
 G348.887+00.097    0 348.887421   0.097992   -70.38     0.32    14   5.423  11.259   0.171   0.159  -1.000  -1.000      0 OK
 G349.092+00.106    0 349.092896   0.106921   -77.60     0.19    30   5.678  11.015   0.153   0.143  -1.000  -1.000      0 OK
 G349.137+00.024    0 349.137146   0.024081    17.35     0.81    30  21.809  21.809   2.980   2.079  -1.000  -1.000      1 OK
 G349.209+00.107    0 349.209381   0.107362  -124.31    -1.00     1   6.770   9.930   0.097   0.094  -1.000  -1.000      0 not-much-there
 G349.352-00.211    0 349.352356  -0.210047    -1.09     2.50     4   0.308  16.399  17.250   0.911  -1.000  -1.000      0 ratty
 G349.355+00.134    0 349.355835   0.134823  -128.15    -1.00     1   6.854   9.853   0.094   0.092  -1.000  -1.000      0 nothing
 G349.485+00.124    0 349.485352   0.124784   -62.33     0.74    14   5.240  11.474   0.193   0.177  -1.000  -1.000      0 OK
 G349.797+00.109    0 349.797058   0.109928   -60.70     0.35    14   5.234  11.498   0.195   0.179  -1.000  -1.000      0 OK
 G349.836-00.527    0 349.836792  -0.526742   -25.45     0.36    30   3.324  13.409   0.434   0.377  -1.000  -1.000      0 OK
 G350.172+00.030    0 350.172119   0.030748   -64.41     0.52    12   5.433  11.317   0.182   0.167  -1.000  -1.000      0 OK
 G350.296+00.123    0 350.296387   0.123787   -60.96     2.06    30   5.333  11.424   0.208   0.189  -1.000  -1.000      0 OK
 G350.343+00.117    0 350.343689   0.117735   -59.25     0.79    30   5.278  11.481   0.200   0.182  -1.000  -1.000      0 OK
 G350.410-00.063    0 350.410980  -0.062866   -27.50     0.50    30   3.595  13.168   0.415   0.360  -1.000  -1.000      0 OK
 G350.498-00.395    0 350.498596  -0.394419   -23.53     0.41    30   3.289  13.478   0.469   0.403  -1.000  -1.000      0 OK
 G350.504+00.958    0 350.504272   0.958385   -10.14     0.36    30   1.836  14.931   0.760   0.625  -1.000  -1.000      0 OK
 G350.522-00.349    0 350.523163  -0.348736   -23.07     0.51    30   3.254  13.514   0.477   0.409  -1.000  -1.000      0 OK
 G350.578+00.367    0 350.578491   0.367370  -242.92    -1.00     1   8.385   8.385   0.000   0.000  -1.000  -1.000      3 nothing
 G350.598+00.682    0 350.598297   0.682310    -2.73     1.83    18   0.655  16.117  16.611   0.895  -1.000  -1.000      0 OK
 G350.646+00.676    0 350.646881   0.676790    -4.31     0.06    22   0.946  15.828  15.876   0.793  -1.000  -1.000      0 OK
 G350.673-00.073    0 350.673248  -0.072348   -24.86     0.10    30   3.437  13.338   0.450   0.387  -1.000  -1.000      0 OK
 G350.679-00.299    0 350.679596  -0.299016   -22.36     2.00    14   3.222  13.554   0.529   0.447  -1.000  -1.000      0 bad-n2hp-fit;use-hnc
 G350.687-00.491    0 350.687531  -0.490049   -17.94     0.08    30   2.796  13.980   0.568   0.479  -1.000  -1.000      0 OK
 G350.724+00.945    0 350.724548   0.946208    -9.27     0.12    30   1.744  15.034   0.799   0.652  -1.000  -1.000      0 OK
 G350.756+00.942    0 350.756439   0.943098    -9.12     0.12    30   1.727  15.052   0.806   0.657  -1.000  -1.000      0 OK
 G350.782-00.027    0 350.782654  -0.026373    19.02     1.00    22  24.826  24.826   5.762   3.401  -1.000  -1.000      1 use-hcop
 G350.855+00.822    0 350.855377   0.822944    -5.37     0.27    30   1.149  15.635   0.965   0.770  -1.000  -1.000      0 OK
 G351.040-00.336    0 351.041992  -0.340250   -18.56     0.38    30   2.929  13.864   0.565   0.475  -1.000  -1.000      0 OK
 G351.227+00.692    0 351.227417   0.692289    -4.40     0.12    30   1.011  15.790  15.827   0.824  -1.000  -1.000      0 OK
 G351.556+00.207    0 351.556458   0.207907   -38.02     0.98    30   4.549  12.267   0.316   0.277  -1.000  -1.000      0 OK
 G351.562+00.186    0 351.562866   0.186676   -41.87     0.95    30   4.763  12.053   0.286   0.252  -1.000  -1.000      0 OK
 G351.565-00.583    0 351.565796  -0.582047   -21.13     0.43    14   3.295  13.521   0.526   0.442  -1.000  -1.000      0 OK
 G351.572+00.762    0 351.572357   0.762969    -3.14     0.41    30   0.795  16.021  16.392   0.901  -1.000  -1.000      0 OK
 G351.619+00.079    0 351.619171   0.079873  -206.35    -1.00     1   8.409   8.409   0.180   0.000  -1.000  -1.000      2 nothing-much
 G351.881-00.368    0 351.881714  -0.368024   -12.90     0.31     6   2.438  14.391   0.739   0.599  -1.000  -1.000      0 OK
 G352.035-00.239    0 352.035309  -0.238032   -11.14     0.71    30   2.226  14.610   0.816   0.653  -1.000  -1.000      0 OK
 G352.074-00.389    0 352.074615  -0.388589   -15.42     0.22    30   2.797  14.041   0.669   0.547  -1.000  -1.000      0 OK
 G352.142-01.016    0 352.142700  -1.015822   -11.59     0.63    30   2.311  14.529   0.803   0.643  -1.000  -1.000      0 OK
 G352.315-00.443    0 352.315521  -0.442978   -10.69     0.39    30   2.215  14.632   0.845   0.671  -1.000  -1.000      0 OK
 G352.492+00.796    0 352.492493   0.796869    -3.06     0.49    30   0.852  16.002  16.460   0.981  -1.000  -1.000      0 OK
 G352.516-00.155    0 352.516754  -0.154475   -47.98     0.33     6   5.289  11.567   0.237   0.210  -1.000  -1.000      0 OK
 G352.857-00.203    0 352.857697  -0.202166   -55.85     0.36    30   5.691  11.177   0.194   0.174  -1.000  -1.000      0 OK
 G353.010+00.983    0 353.010315   0.983746    -4.19     1.03    30   1.159  15.715  15.883   0.980  -1.000  -1.000      0 OK
 G353.043+00.579    0 353.043884   0.579703    -3.78     0.28    30   1.071  15.804  16.070   0.989  -1.000  -1.000      0 OK
 G353.088+00.996    0 353.088501   0.996325    -2.64     1.25    30   0.807  16.069  16.765   1.086  -1.000  -1.000      0 OK
 G353.146+00.663    0 353.146759   0.663426    -3.68     0.24    30   1.061  15.818  16.122   1.004  -1.000  -1.000      0 OK
 G353.147+00.629    0 353.147247   0.630078    -6.83     1.00    22   1.725  15.154   1.143   0.860  -1.000  -1.000      0 2nd-pk-at-+0.5
 G353.164+00.827    0 353.163574   0.827893   -10.30     0.20    30   2.338  14.541   0.919   0.713  -1.000  -1.000      0 bad-n2hp-fit
 G353.190+00.835    0 353.190216   0.835955    -5.91     0.86    30   1.551  15.330   1.207   0.901  -1.000  -1.000      0 OK
 G353.203+00.888    0 353.203308   0.888818    -2.79     0.30    30   0.855  16.026  16.633   1.063  -1.000  -1.000      0 bad-n2hp-fit
 G353.213-00.248    0 353.213562  -0.246918   -16.55     0.23    30   3.218  13.663   0.674   0.542  -1.000  -1.000      0 OK
 G353.261+00.626    0 353.261505   0.627060    -4.89     0.52    30   1.348  15.535   1.285   0.951  -1.000  -1.000      0 OK
 G353.271+00.641    0 353.271393   0.641826    -4.11     0.26    30   1.175  15.707  15.880   0.991  -1.000  -1.000      0 OK
 G353.462+00.563    0 353.462524   0.563726   -46.27     0.32    30   5.464  11.425   0.239   0.210  -1.000  -1.000      0 OK
 G354.187-00.429    0 354.187622  -0.428619    -8.45     0.37    30   2.272  14.641   1.130   0.834  -1.000  -1.000      0 OK
 G354.206-00.038    0 354.206665  -0.036758   -30.15     0.66    30   4.798  12.115   0.392   0.327  -1.000  -1.000      0 OK
 G354.364+00.259    0 354.364502   0.259811     4.01     0.48    30  18.527  18.527   3.455  18.079  -1.000  -1.000      1 OK
 G354.574+00.008    0 354.574127   0.008573   -31.01     0.74    14   4.989  11.935   0.378   0.315  -1.000  -1.000      0 OK
 G354.596+00.468    0 354.596588   0.468570   -21.37     0.11    30   4.204  12.721   0.562   0.449  -1.000  -1.000      0 OK
 G354.615+00.471    0 354.615509   0.471756   -20.02     0.13    30   4.072  12.853   0.600   0.476  -1.000  -1.000      0 OK
 G354.628-00.610    0 354.628052  -0.609486    -3.06     0.34    30   1.108  15.818  16.510   1.215  -1.000  -1.000      0 OK
 G354.660+00.482    0 354.660309   0.482769   -20.63     0.13    30   4.153  12.773   0.583   0.464  -1.000  -1.000      0 OK
 G354.941+00.328    0 354.940979   0.329398   105.87     2.45    20   0.000   0.000   0.000   0.000  -1.000  -1.000      4 ratty;dubious
 G355.060-00.478    0 355.060394  -0.477882    -5.76     0.46    14   1.931  15.006   1.539   1.053  -1.000  -1.000      0 OK
 G355.182-00.419    0 355.183319  -0.419077    -2.71     0.14    30   1.095  15.845  16.813   1.330  -1.000  -1.000      0 OK
 G355.191-00.484    0 355.191559  -0.483382    -5.29     0.11    30   1.848  15.092   1.627   1.097  -1.000  -1.000      0 OK
 G355.265-00.269    0 355.265625  -0.268957    -3.11     0.73    30   1.239  15.703  16.508   1.313  -1.000  -1.000      0 OK
 G355.412+00.103    0 355.412384   0.103960     4.86     0.51    30  19.666  19.666   5.963  19.492  -1.000  -1.000      1 OK
 G355.567-00.728    0 355.567566  -0.727406    -6.72     0.20    22   2.332  14.617   1.521   1.023  -1.000  -1.000      0 OK
 G356.173-00.531    0 356.173645  -0.530571     4.60     1.50     4  20.211  20.211   9.700  19.797  -1.000  -1.000      1 ratty;use-hcn
 G356.408+00.126    0 356.408600   0.126693    -4.34     0.35    30   1.977  14.989  15.277   1.341  -1.000  -1.000      0 OK
 G356.426+00.105    0 356.426025   0.105499    -5.24     0.25    14   2.274  14.693   2.043   1.237  -1.000  -1.000      0 OK
 G356.858+00.327    0 356.857971   0.327449   -13.78     0.19    30   4.396  12.579   0.940   0.648  -1.000  -1.000      0 OK
 G357.460+00.599    0 357.460144   0.599144    -8.06     0.07    22   3.713  13.270   1.743   1.012  -1.000  -1.000      0 OK
 G357.487-00.331    0 357.487213  -0.330927     4.29     0.14    12  22.588  22.588  53.665  21.956  -1.000  -1.000      1 OK
 G357.706-00.292    0 357.706085  -0.291908     5.12     0.50    30  26.310  26.310  26.310  26.290  -1.000  -1.000      1 OK
